period,si,ni,rpi,spi,AQI
1987-01,18.500236406619386,29.364184397163122,0.0,238.13356973995275,242.4386524822695
1987-02,20.94865196078431,36.68051470588235,0.0,227.5251225490196,235.78792892156864
1987-03,21.84809941520468,38.42763157894737,0.0,286.6929824561403,294.55877192982456
1987-04,19.945652173913043,27.054347826086957,0.0,195.81159420289856,202.0126811594203
1987-05,19.04375,37.81375,0.0,302.37916666666666,307.9916666666667
1987-06,18.660714285714285,42.13928571428572,0.0,264.2738095238095,265.91666666666663
1987-07,11.0875,33.025,0.0,208.525,208.525
1987-08,22.895833333333332,38.5,0.0,288.4444444444444,288.4444444444444
1987-09,9.0,25.203125,0.0,244.29166666666666,250.97916666666666
1987-10,12.725,10.575,0.0,143.3,156.625
1987-11,11.784090909090908,1.1704545454545454,0.0,247.4318181818182,255.0340909090909
1987-12,34.4375,48.53125,0.0,350.375,350.375
1988-01,23.83246996996997,38.21385135135135,0.0,200.40953453453452,211.0765015015015
1988-02,22.351132686084142,38.45594660194175,0.0,196.2390776699029,209.36088187702265
1988-03,21.97861842105263,34.022368421052626,0.0,233.83662280701753,245.01030701754385
1988-04,21.489583333333332,30.47847222222222,0.0,246.02777777777777,250.5625
1988-05,17.12857142857143,27.09785714285714,0.0,153.0,175.7657142857143
1988-06,11.697916666666666,16.498958333333334,0.0,88.02430555555556,104.22222222222223
1988-07,24.770833333333332,22.791666666666668,0.0,318.375,328.125
1988-08,27.056818181818183,24.261363636363637,0.0,126.03030303030302,149.46969696969697
1988-09,15.225,17.625,0.0,196.01666666666668,212.49166666666665
1988-10,10.2,35.3,0.0,33.016666666666666,85.94166666666666
1988-11,31.765625,29.703125,0.0,269.2916666666667,270.5260416666667
1988-12,24.0,11.625000000000002,0.0,302.5,302.5
1989-01,25.825925925925926,44.18541666666667,0.0,229.6122685185185,236.51331018518516
1989-02,25.628521126760564,49.569718309859155,0.0,246.25352112676057,252.2164319248826
1989-03,25.903164556962025,48.88449367088607,0.0,246.4620253164557,251.7107594936709
1989-04,20.470588235294116,46.13,0.0,238.74411764705883,245.02058823529413
1989-05,20.3265625,30.968124999999997,0.0,249.10104166666665,251.66666666666666
1989-06,17.975649350649352,29.469155844155843,0.0,172.78138528138527,180.879329004329
1989-07,18.58695652173913,32.927173913043475,0.0,115.44685990338164,130.7171497584541
1989-08,16.984244791666665,27.139453125,0.0,116.99869791666666,128.36263020833334
1989-09,18.49486301369863,34.07534246575342,0.0,141.1929223744292,148.05079908675796
1989-10,13.875,70.91666666666667,0.0,97.33333333333333,160.20833333333334
1989-12,25.12077777777778,45.60166666666667,0.0,217.17444444444442,226.84277777777777
1990-01,19.62698412698413,35.33761904761904,0.0,234.1531746031746,239.07103174603174
1990-02,22.08467741935484,36.2008064516129,0.0,199.60282258064515,205.78729838709677
1990-03,20.308604336043363,38.3219512195122,0.0,201.84959349593495,210.21239837398375
1990-04,19.954457364341085,33.77713178294574,0.0,235.68992248062017,239.9001937984496
1990-05,20.08727735368957,37.37977099236641,0.0,228.44656488549617,236.10909669211196
1990-06,19.519615384615385,34.13807692307692,0.0,247.41602564102564,254.42756410256413
1990-07,17.604166666666668,30.679545454545455,0.0,141.9854797979798,152.7042297979798
1990-08,19.877871148459384,35.90420168067227,0.0,119.09103641456582,132.38830532212884
1990-09,21.35123966942149,33.99132231404958,0.0,117.0805785123967,125.8150826446281
1990-10,22.600455729166665,37.9302734375,0.0,177.76041666666666,188.14420572916666
1990-11,24.875066137566137,40.78690476190476,0.0,215.8187830687831,225.29265873015873
1990-12,24.921723646723645,41.64786324786325,0.0,225.67948717948718,236.81303418803418
1991-01,25.7021875,43.550937499999996,0.0,227.79947916666666,238.06005208333332
1991-02,24.034037558685448,39.33573943661972,0.0,200.087441314554,211.28339201877932
1991-03,21.080985915492956,35.863732394366195,0.0,203.44483568075117,212.0055751173709
1991-04,20.149125874125872,34.09073426573427,0.0,248.59207459207457,255.282634032634
1991-05,19.243530701754388,35.050493421052636,0.0,225.21600877192984,231.8254934210526
1991-06,18.78964285714286,33.737321428571434,0.0,181.54642857142858,189.70565476190478
1991-07,18.451446280991735,33.025619834710746,0.0,147.05165289256198,161.49070247933884
1991-08,15.57810606060606,30.387727272727272,0.0,98.59242424242424,116.02083333333333
1991-09,17.06301652892562,33.32314049586777,0.0,120.46280991735537,135.8293388429752
1991-10,18.84537037037037,35.98203703703704,0.0,185.57654320987655,199.2883950617284
1991-11,18.92471988795518,35.49432773109243,0.0,205.0441176470588,216.52941176470588
1991-12,21.028371501272265,36.91507633587786,0.0,208.426844783715,224.76749363867685
1992-01,22.70094562647754,41.88191489361702,0.0,161.65602836879432,177.4851063829787
1992-02,18.58093525179856,42.332913669064745,0.0,123.93525179856115,146.105035971223
1992-03,23.33737373737374,46.989015151515154,0.0,142.99747474747477,160.80915404040405
1992-04,21.23987603305785,42.570454545454545,0.0,210.4931129476584,218.62431129476585
1992-05,21.030973451327434,43.3396017699115,0.0,219.3731563421829,227.5147492625369
1992-06,16.804611650485437,36.42621359223301,0.0,201.55582524271844,216.29611650485438
1992-07,19.99342105263158,44.29703947368421,0.0,115.88157894736842,146.70822368421054
1992-08,18.323020833333334,45.6609375,0.0,69.71979166666667,100.30229166666666
1992-09,15.0625,39.50036764705882,0.0,78.82598039215685,97.74926470588235
1992-10,17.00565476190476,41.29404761904762,0.0,103.52777777777776,127.07460317460317
1992-11,20.34,47.13088235294118,0.0,129.64411764705883,147.13921568627453
1992-12,18.961666666666666,44.915,0.0,154.81274509803922,175.77450980392157
