period,si,ni,rpi,spi,AQI
1992-09,17.575980960593906,42.73829143309014,109.61092806179468,81.5930885866419,136.06738994743955
1992-10,17.390400280001675,41.59947493836952,109.6109280617947,100.92966641004188,149.2017147352474
1992-11,21.529695062052426,47.62017417777939,109.6109280617947,153.58536512305548,181.81672257677832
1992-12,19.15122171031642,45.52234340294054,109.6109280617947,188.7174022590985,211.14492549438145
1993-01,28.584245363217143,46.785755813953486,109.61092806179472,184.5728977260563,185.70958796484192
1993-02,26.92162993829554,43.87286396161664,109.61092806179472,178.0996500504641,179.99882296704538
1993-03,25.26630419243071,43.51548988148192,109.6109280617947,191.24465058507803,192.27821158636544
1993-04,24.717967043579105,38.68354766970804,109.6109280617947,188.2009695708741,188.34014700375403
1993-05,28.057930890210603,39.97473684210527,109.6109280617947,178.4268780564647,181.28710812092356
1993-06,27.71151964337045,37.51444444444444,109.61092806179468,195.2423099812193,198.2000188455137
1993-07,24.97664609053498,39.47592592592593,109.6109280617947,177.33753884670483,182.6287505099264
1993-08,24.285114485666917,37.20984539851991,109.61092806179468,175.55762079008343,179.28082239809396
1993-09,27.832638888888887,37.37023809523809,109.6109280617947,174.01649150056582,180.07197322024635
1993-10,27.467268041237112,36.730670103092784,109.6109280617947,183.2354856621963,186.79710557064817
1993-11,29.36543885896454,43.09707822567504,109.6109280617947,186.6410785983682,188.98966983066856
1993-12,31.035747911808745,51.83828784302689,109.6109280617947,184.45434245574177,189.35646025130285
1994-01,28.770149606254463,45.8220103415885,109.6109280617947,233.8319159059044,249.17178044924256
1994-02,22.677621494632124,37.37062316164051,109.6109280617947,219.4940474047715,239.37383150264196
1994-03,28.74647922612215,41.82377994701016,109.6109280617947,248.05626125115347,268.9379051598788
1994-04,24.083883749184128,37.652654521544086,109.6109280617947,217.5492739835484,238.86221848595548
1994-05,25.16732522401997,38.53070046884696,109.6109280617947,254.77876964169891,270.5463897815053
1994-06,24.196420276970144,38.69846580291976,109.6109280617947,211.46605923221068,236.56385806075764
1994-07,24.0664582086528,38.45384133900843,109.6109280617947,132.4444496311464,177.81435978115724
1994-08,29.44102414277819,40.97941301926205,109.61092806179468,160.66149123248115,197.20168526514777
1994-09,30.09053164403548,45.445698874856,109.6109280617947,194.1569547086546,224.40764475756484
1994-11,33.097700725532874,56.87739577915321,109.6109280617947,260.1266413497248,277.24379517371364
1994-12,41.81457482058149,66.77455847235191,109.61092806179472,305.7357246480491,320.0094092451003
1995-01,35.182237318919235,55.087157983630135,109.61092806179472,245.2256420817736,258.793746651308
1995-02,33.12635278876558,52.06768736245717,109.61092806179468,253.80795859760508,266.7265236149592
1995-03,30.497450586443573,47.62983129636171,109.6109280617947,210.4405761164517,224.1243019297204
1995-04,30.37752882853905,45.86586190877524,109.61092806179472,217.5653585753506,237.5624056962188
1995-05,31.582661361433733,41.23455679412755,109.6109280617947,224.71920481307575,239.81633244710204
1995-06,28.30390972126169,39.783877076381785,109.6109280617947,230.309861259262,246.01697181358432
1995-07,26.48215561806816,35.892918612142054,109.6109280617947,170.77199617022384,201.047913225742
1995-08,27.404212931950468,35.79496126554204,109.6109280617947,151.3673827976268,184.2256036253256
1995-09,26.90935534834833,39.622649464055804,109.6109280617947,161.9747522441547,187.8984812415733
1995-10,30.80471576554651,45.67984222773084,109.6109280617947,191.44145060525057,212.87666732469916
1995-11,31.592834074254604,51.69436435809882,109.6109280617947,246.8799034665605,262.8031559966118
1995-12,34.64813224354421,48.4472548308346,109.6109280617947,281.0438517500598,288.73777920307435
1996-01,28.948985606408726,41.20578472076056,109.6109280617947,225.0749354005168,236.68447909618763
1996-02,27.63341713095653,42.34628859672956,109.6109280617947,244.8481912144703,253.77775649297357
